,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,pd,rope
Intercept,-0.845,0.096,-1.042,-0.685,0.002,0.002,1953,2234,1,,
spectral_entropy_z,0.407,0.127,0.139,0.632,0.004,0.003,1518,1102,1,0.99475,0.981919702
1|network_sigma,0.182,0.115,0.002,0.378,0.003,0.002,1176,1457,1.01,,
spectral_entropy_z|network_sigma,0.204,0.175,0,0.498,0.006,0.004,844,1404,1.01,,
1|network[auditory],-0.072,0.133,-0.315,0.184,0.002,0.002,3184,2853,1,0.7175,0.155543738
1|network[dmn],0.005,0.118,-0.229,0.23,0.002,0.002,2848,2969,1,0.61175,0.169901622
1|network[fpn],0.011,0.123,-0.228,0.256,0.002,0.002,3198,3257,1,0.526,0.089603829
1|network[limbic],-0.037,0.152,-0.348,0.244,0.003,0.002,2170,2251,1,0.9475,0.517415581
1|network[motor],0.011,0.125,-0.243,0.24,0.002,0.002,3003,3266,1,0.53375,0.086679075
1|network[salience],-0.116,0.147,-0.406,0.134,0.003,0.002,2500,3192,1,0.78825,0.259505451
1|network[visual],0.196,0.136,-0.021,0.454,0.003,0.002,1832,2579,1,0.508,0.067801117
spectral_entropy_z|network[auditory],-0.02,0.171,-0.362,0.334,0.004,0.003,2728,1694,1,0.54775,0.162456793
spectral_entropy_z|network[dmn],0.077,0.16,-0.191,0.408,0.004,0.003,2037,2027,1,0.848,0.438978995
spectral_entropy_z|network[fpn],-0.002,0.159,-0.314,0.337,0.003,0.003,2529,1699,1,0.7465,0.273863334
spectral_entropy_z|network[limbic],-0.221,0.249,-0.707,0.114,0.007,0.005,1333,1708,1,0.5285,0.078702473
spectral_entropy_z|network[motor],0.118,0.182,-0.169,0.508,0.004,0.003,2040,2404,1,0.5175,0.151289551
spectral_entropy_z|network[salience],0.029,0.174,-0.27,0.432,0.003,0.003,3071,2887,1,0.55925,0.17734645
spectral_entropy_z|network[visual],-0.007,0.127,-0.241,0.262,0.003,0.003,1768,1262,1,0.686,0.188513693
spectral_entropy_z + spectral_entropy_z|network[auditory],0.387,0.164,0.073,0.722,0.003,0.002,3656,3589,1,0.9815,0.936718958
spectral_entropy_z + spectral_entropy_z|network[dmn],0.484,0.138,0.239,0.745,0.002,0.002,3582,3658,1,0.784,0.658867323
spectral_entropy_z + spectral_entropy_z|network[fpn],0.405,0.143,0.113,0.674,0.002,0.001,5225,3375,1,0.99975,1
spectral_entropy_z + spectral_entropy_z|network[limbic],0.186,0.249,-0.304,0.563,0.007,0.005,1318,2641,1,1,1
spectral_entropy_z + spectral_entropy_z|network[motor],0.525,0.169,0.233,0.855,0.003,0.002,2802,3607,1,0.99525,0.965168838
spectral_entropy_z + spectral_entropy_z|network[salience],0.437,0.184,0.063,0.782,0.004,0.003,2440,2362,1,0.98925,0.955331029
spectral_entropy_z + spectral_entropy_z|network[visual],0.4,0.075,0.263,0.547,0.001,0.001,4338,3439,1,1,1